timestamp,bandwidth_bps,pop_ping_latency_ms,downlink_troughput_bps
1691170388,24941352,29.2,24184676.0
1691170389,26030904,29.6,25590422.0
1691170390,28527560,30.52381,28456642.0
1691170391,23972920,28.809525,25049726.0
1691170392,16682688,28.095238,20623812.0
1691170394,18970664,29.142857,17243572.0
1691170395,19963848,27.952381,19318838.0
1691170396,19138120,27.0,19020808.0
1691170397,20411464,27.5,20237786.0
1691170398,20544032,26.904762,20294232.0
1691170399,24188296,27.142857,22205460.0
1691170400,23512664,26.55,23307848.0
1691170401,26185536,27.25,25567614.0
1691170402,30642936,29.047619,29345834.0
1691170403,36329408,28.047619,34559184.0
1691170404,44833040,28.047619,43875876.0
1691170405,52952576,28.761906,50802700.0
1691170406,69594992,28.947369,62157572.0
1691170407,65069720,28.6,67459100.0
1691170408,73074968,27.95,68760460.0
1691170409,88201848,27.095238,81861100.0
1691170411,70540936,24.904762,80435070.0
1691170412,62109936,26.190475,60184580.0
1691170413,57693256,27.0,66370684.0
1691170414,55657384,23.761906,55656996.0
1691170415,41095016,25.65,57165144.0
1691170416,22882176,27.85,21673488.0
1691170417,27134152,26.7,27048848.0
1691170418,27121512,24.952381,27939602.0
1691170419,29508632,25.55,28497008.0
1691170420,28248600,25.9,26739964.0
1691170421,24963312,25.0,27204960.0
1691170422,20447800,27.190475,20972258.0
1691170423,11267432,28.5,14172973.0
1691170424,9172192,25.380953,8836308.0
1691170425,9292512,25.238094,9245102.0
1691170426,8771696,27.65,8044079.5
1691170427,9741320,27.4,9685235.0
1691170428,10710280,27.047619,9270335.0
1691170429,9874024,27.428572,10263764.0
1691170430,9377960,27.8,9037567.0
1691170431,10649056,27.8,9509427.0
1691170433,10752168,25.714285,10778782.0
1691170434,11613640,25.55,10276666.0
1691170435,12212696,26.238094,11530762.0
1691170436,13507624,28.190475,12433083.0
1691170437,13786728,27.952381,13557140.0
1691170438,13374920,30.8,13618838.0
1691170439,17275512,38.2,16949250.0
1691170440,22677624,40.714287,22855802.0
1691170441,25546424,39.8,25503272.0
1691170442,25548104,39.5,25153812.0
1691170443,21853320,37.904762,23604100.0
1691170444,23451048,38.42857,22432262.0
1691170445,23124416,37.857143,23356996.0
1691170446,17746688,39.3,18962088.0
1691170447,15762336,41.190475,16443047.0
1691170448,15352760,42.857143,15256470.0
1691170449,15560128,43.1,14928526.0
1691170450,17419800,41.238094,16405718.0
1691170451,18715784,39.857143,16382876.0
1691170452,15336928,39.38095,16650632.0
1691170454,11191064,38.190475,15089093.0
1691170455,16657800,34.45,11132807.0
1691170456,17658208,32.95238,15512625.0
1691170457,18306752,34.238094,18133252.0
1691170458,12800096,36.05,13867493.0
1691170459,16616472,36.57143,15102279.0
1691170460,16911624,35.35,15630862.0
1691170461,18377840,34.238094,19465614.0
1691170462,16874760,38.0,16417328.0
1691170463,17589368,37.15,17467170.0
1691170464,18400872,36.38095,17570518.0
1691170465,20084440,36.35,20356542.0
1691170466,11811896,31.75,15955728.0
1691170467,16111704,31.952381,11541567.0
1691170468,22762248,31.842106,20094944.0
1691170469,31553976,31.789474,28172150.0
1691170470,27448536,32.3,29913022.0
1691170471,30246984,32.85,29618246.0
1691170472,25244064,32.526318,26127812.0
1691170473,28635376,31.5,27282588.0
1691170475,25353208,32.666668,28208826.0
1691170476,27969352,33.95238,25474844.0
1691170477,26636464,35.04762,27503284.0
1691170478,28752800,33.5,26197338.0
1691170479,31867304,33.4,30300608.0
1691170480,30076840,35.42857,29378692.0
1691170481,34280280,37.666668,34182404.0
1691170482,28721400,36.57895,27476164.0
1691170483,32308224,35.57143,32467016.0
1691170484,37146360,35.285713,37232904.0
1691170485,36690040,35.904762,35421016.0
1691170486,37330872,34.904762,39642610.0
1691170487,42214120,34.0,35654268.0
1691170488,38575528,33.42857,39324010.0
1691170489,36714904,32.857143,38849664.0
1691170490,29652784,33.238094,33628170.0
1691170492,35879016,34.05,31825892.0
1691170493,41413672,33.285713,36883300.0
1691170494,38713752,33.52381,38068980.0
1691170495,41680000,35.190475,40571680.0
1691170496,39354104,34.45,39524772.0
1691170497,34703624,38.15,36070570.0
1691170498,33322856,50.833332,31949876.0
1691170499,31313272,44.842106,28987322.0
1691170500,20969672,38.904762,24145970.0
1691170501,33190200,37.47619,28701438.0
1691170502,31760984,34.809525,35811296.0
1691170504,40577416,33.8,31384568.0
1691170505,37001600,35.9,34950440.0
1691170506,35212856,37.25,36402028.0
1691170507,31662984,35.38095,35825044.0
1691170508,27896064,35.809525,29835612.0
1691170509,32403448,36.38095,29332446.0
1691170510,31372824,39.238094,29939748.0
1691170511,37804160,37.15,35795816.0
1691170512,33239088,32.8,33848788.0
